category,title,text,text_clean,pos,text_clean_pos
World,Flowers as Dutch film man cremated,"AMSTERDAM, Netherlands -- On the day of his cremation, hundreds of people laid flowers, candles and notes at the spot where controversial Dutch filmmaker Theo Van Gogh was killed.",amsterdam netherlands day cremation hundred people laid flower candle note spot controversial dutch filmmaker theo van gogh killed,JJ NNS IN DT NN IN PRP$ NN NNS IN NNS JJ NNS NNS CC NNS IN DT NN WRB JJ NN NN NN NN NN VBD VBN,amsterdam_JJ netherlands_NNS day_NN cremation_NN hundred_NNS people_NNS laid_JJ flower_NNS candle_NNS note_NNS spot_NN controversial_JJ dutch_NN filmmaker_NN theo_NN van_NN gogh_NN killed_VBN
World,Jury in Peterson Trial Gets Long Weekend,"REDWOOD CITY, Calif. - Jurors in the Scott Peterson murder trial got an early start on their weekend when the judge delayed cross-examination of the prosecution's star witness, then sent them home because of what he described as a ""potential development.""   Judge Alfred A...",redwood city calif juror scott peterson murder trial got early start weekend judge delayed crossexamination prosecution star witness sent home described potential development judge alfred,NN NN NN NNS IN DT NN NN NN NN VBD DT JJ NN IN PRP$ NN WRB DT NN VBD NN IN DT NNS NN NN RB VBD PRP NN IN IN WP PRP VBD IN DT JJ NN NN VBD DT,redwood_NN city_NN calif_NN juror_NNS scott_NN peterson_NN murder_NN trial_NN got_VBD early_JJ start_NN weekend_NN judge_NN delayed_VBD crossexamination_NN prosecution_NNS star_NN witness_NN sent_VBD home_NN described_VBD potential_JJ development_NN judge_NN alfred_VBD
World,"Familiar Faces Likely in Either Bush, Kerry Cabinet (Reuters)","Reuters - Whether Republican George W. Bush or\Democrat John Kerry wins the Nov. 2 election, Americans are\likely to see some familiar faces in the Cabinet of either man\as president.",reuters whether republican george w bush ordemocrat john kerry win nov 2 election american arelikely see familiar face cabinet either manas president,NNS IN JJ NN VBD JJ NN NN NN VBZ DT JJ CD NN NNS RB TO VB DT JJ VBZ IN DT NN IN DT NNS NN,reuters_NNS whether_IN republican_JJ george_NN w_VBD bush_JJ ordemocrat_NN john_NN kerry_NN win_VBZ nov_JJ 2_CD election_NN american_NNS arelikely_RB see_VB familiar_JJ face_VBZ cabinet_NN either_DT manas_NNS president_NN
World,Four killed in Thai violence,"SECURITY forces fired shots in the air and used water cannons and tear gas to disperse about 2000 angry Muslim youths rioting in Thailand #39;s troubled south Monday, leaving at least four people dead and more than 20 injured, police said.",security force fired shot air used water cannon tear gas disperse 2000 angry muslim youth rioting thailand 39s troubled south monday leaving least four people dead 20 injured police said,NN NNS VBD NNS IN DT NN CC JJ NN NNS CC VB NN TO VB IN CD JJ JJ NNS VBG IN NN CD VBD NN NN VBG IN JJS CD NNS JJ CC JJR IN CD JJ NNS VBD,security_NN force_NNS fired_VBD shot_NNS air_NN used_JJ water_NN cannon_NNS tear_VB gas_NN disperse_VB 2000_CD angry_JJ muslim_JJ youth_NNS rioting_VBG thailand_NN 39s_CD troubled_VBD south_NN monday_NN leaving_VBG least_JJS four_CD people_NNS dead_JJ 20_CD injured_JJ police_NNS said_VBD
World,Pope's French visit leaves debt,France's Catholic Church posts a huge deficit after a weekend visit by the Pope to the southern shrine of Lourdes.,france catholic church post huge deficit weekend visit pope southern shrine lourdes,NNS JJ NN VBZ DT JJ NN IN DT NN NN IN DT NN TO DT JJ NN IN NNS,france_NNS catholic_JJ church_NN post_VBZ huge_JJ deficit_NN weekend_NN visit_NN pope_NN southern_JJ shrine_NN lourdes_NNS
World,"Typhoon Lashes Taiwan With Wind, Rain (AP)","AP - Strong winds and heavy rains lashed eastern Taiwan as Typhoon Nock-ten began battering the island Sunday night. One fisherman was missing, police said.",ap strong wind heavy rain lashed eastern taiwan typhoon nockten began battering island sunday night one fisherman missing police said,NN JJ NNS CC JJ NNS VBD JJ NN IN NN NNS VBD VBG DT NN NN NN CD NN VBD VBG NN VBD,ap_NN strong_JJ wind_NNS heavy_JJ rain_NNS lashed_VBD eastern_JJ taiwan_NN typhoon_NN nockten_NNS began_VBD battering_VBG island_NN sunday_NN night_NN one_CD fisherman_NN missing_VBG police_NN said_VBD
World,Sudan Threatens to Expel Two UK Aid Agency Heads," KHARTOUM, Sudan (Reuters) - Sudan asked the country heads  of two British aid agencies to leave the country, accusing them  of breaching Sudanese law and interfering in domestic affairs,  government and aid officials said Monday.",khartoum sudan reuters sudan asked country head two british aid agency leave country accusing breaching sudanese law interfering domestic affair government aid official said monday,NN NN NNS VBP VBD DT NN NNS IN CD JJ NN NNS TO VB DT NN VBG PRP IN VBG JJ NN CC VBG IN JJ NNS NN CC NN NNS VBD NN,khartoum_NN sudan_NN reuters_NNS sudan_VBP asked_VBD country_NN head_NNS two_CD british_JJ aid_NN agency_NNS leave_VB country_NN accusing_VBG breaching_VBG sudanese_JJ law_NN interfering_VBG domestic_JJ affair_NNS government_NN aid_NN official_NNS said_VBD monday_NN
World,Journalist Kidnapped in Iraq Is Released (AP),"AP - U.S. journalist Micah Garen, who was kidnapped in Iraq more than a week ago, was released Sunday in the southern city of Nasiriyah. Garen spoke to Al-Jazeera television, confirming he was freed.",ap u journalist micah garen kidnapped iraq week ago released sunday southern city nasiriyah garen spoke aljazeera television confirming freed,VB PRP JJ JJ NNS WP VBD VBN IN NN JJR IN DT NN RB VBD VBN NN IN DT JJ NN IN JJ NNS VBD TO VB NN VBG PRP VBD VBN,ap_VB u_PRP journalist_JJ micah_JJ garen_NNS kidnapped_VBN iraq_NN week_NN ago_RB released_VBN sunday_NN southern_JJ city_NN nasiriyah_JJ garen_NNS spoke_VBD aljazeera_VB television_NN confirming_VBG freed_VBN
World,The opportunities and dangers of the post-Arafat era,Yasser Arafat #39;s increasingly imminent passing from the scene points to the end of a long and complex era that is best left for historians to assess.,yasser arafat 39s increasingly imminent passing scene point end long complex era best left historian ass,RB JJ CD RB JJ NN IN DT NN NNS TO DT NN IN DT JJ CC JJ NN WDT VBZ RBS NN IN NNS TO VB,yasser_RB arafat_JJ 39s_CD increasingly_RB imminent_JJ passing_NN scene_NN point_NNS end_NN long_JJ complex_JJ era_NN best_RBS left_NN historian_NNS ass_VB
World,Britons outpace their own government in aiding disaster victims (AFP),"AFP - Britons, moved by stories of tragedy and heroism that even involved their own nationals, outpaced their own government in how much aid money they could raise for tsunami victims in Asia in the last week.",afp briton moved story tragedy heroism even involved national outpaced government much aid money could raise tsunami victim asia last week,JJ NNS VBN IN NNS IN NN CC NN IN RB VBN PRP$ JJ NNS VBD PRP$ JJ NN IN WRB JJ NN NN PRP MD VB IN NN NNS IN NN IN DT JJ NN,afp_JJ briton_NNS moved_VBN story_NNS tragedy_NN heroism_NN even_RB involved_VBN national_NNS outpaced_VBD government_NN much_JJ aid_NN money_NN could_MD raise_VB tsunami_NN victim_NNS asia_NN last_JJ week_NN
World,Britain arrests radical cleric,"London - British Police arrested radical cleric Abu Hamza al-Masri on suspicion of terrorism links Thursday, a move suggesting that Britain intends to charge him, which could delay US attempts to extradite him.",london british police arrested radical cleric abu hamza almasri suspicion terrorism link thursday move suggesting britain intends charge could delay u attempt extradite,JJ JJ NNS VBD JJ NN NN NN NN IN NN IN NN NNS VBP DT NN VBG IN NN VBZ TO VB PRP WDT MD VB PRP NNS TO VB PRP,london_JJ british_JJ police_NNS arrested_VBD radical_JJ cleric_NN abu_NN hamza_NN almasri_NN suspicion_NN terrorism_NN link_NNS thursday_VBP move_NN suggesting_VBG britain_NN intends_VBZ charge_VB could_MD delay_VB u_PRP attempt_NNS extradite_VB
World,8 US marines killed in Iraq,NEW YORK - Eight US marines have been killed west of Baghdad in a region that has become a flashpoint of anger over the US occupation of Iraq.,new york eight u marine killed west baghdad region become flashpoint anger u occupation iraq,JJ NN CD PRP NNS VBP VBN VBN JJS IN NN IN DT NN WDT VBZ VBN DT NN IN NN IN DT PRP NN IN NN,new_JJ york_NN eight_CD u_PRP marine_NNS killed_VBN west_JJS baghdad_NN region_NN become_VBN flashpoint_NN anger_NN u_PRP occupation_NN iraq_NN
World,Shaukat Aziz to be sworn next week,"ISLAMABAD: Pakistan #39;s Finance Minister Shaukat Aziz, a former banker credited with its economic reforms, will take over as prime minister next week following his thumping National Assembly by-election victories on Wednesday. ",islamabad pakistan 39s finance minister shaukat aziz former banker credited economic reform take prime minister next week following thumping national assembly byelection victory wednesday,JJ VBD CD NN NN NN VBZ DT JJ NN VBD IN PRP$ JJ NNS MD VB RP IN JJ NN JJ NN VBG PRP$ VBG JJ NN NN NNS IN NN,islamabad_JJ pakistan_VBD 39s_CD finance_NN minister_NN shaukat_NN aziz_VBZ former_JJ banker_NN credited_VBD economic_JJ reform_NNS take_VB prime_JJ minister_NN next_JJ week_NN following_VBG thumping_VBG national_JJ assembly_NN byelection_NN victory_NNS wednesday_NN
World,Militant leader hurt in attack,RAFAH: The wanted leader of a Palestinian militant group and two of his lieutenants survived an Israeli assassination bid yesterday after an air strike targeted their vehicle in the southern Gaza Strip.,rafah wanted leader palestinian militant group two lieutenant survived israeli assassination bid yesterday air strike targeted vehicle southern gaza strip,VB DT JJ NN IN DT JJ NN NN CC CD IN PRP$ NNS VBD DT JJ NN NN NN IN DT NN NN VBD PRP$ NN IN DT JJ NN NN,rafah_VB wanted_JJ leader_NN palestinian_JJ militant_NN group_NN two_CD lieutenant_NNS survived_VBD israeli_JJ assassination_NN bid_NN yesterday_NN air_NN strike_NN targeted_VBD vehicle_NN southern_JJ gaza_NN strip_NN
World,Iran May Curb Nuke Work,"(CBS/AP) Iran has agreed in principle to temporarily stop some suspect activities that its critics allege are meant to make nuclear weapons, as it seeks to blunt censure at an upcoming UN meeting, diplomats said Tuesday.",cbsap iran agreed principle temporarily stop suspect activity critic allege meant make nuclear weapon seek blunt censure upcoming un meeting diplomat said tuesday,NN NN VBZ VBN IN NN TO RB VB DT JJ NNS IN PRP$ NNS NN VBP VBN TO VB JJ NNS IN PRP VBZ TO VB NN IN DT JJ JJ NN NNS VBD NN,cbsap_NN iran_NN agreed_VBN principle_NN temporarily_RB stop_VB suspect_JJ activity_NNS critic_NNS allege_NN meant_VBN make_VB nuclear_JJ weapon_NNS seek_VBZ blunt_VB censure_NN upcoming_JJ un_JJ meeting_NN diplomat_NNS said_VBD tuesday_NN
World,Australia acquiring long-range missiles,SYDNEY - Australia has announced plans to acquire long-range cruise missiles that will give its defence force the  #39;most lethal capacity #39; for air combat in the region.,sydney australia announced plan acquire longrange cruise missile give defence force 39most lethal capacity 39 air combat region,NN NN VBZ VBN NNS TO VB NN NN NNS WDT MD VB PRP$ NN NN DT CD JJ NN CD IN NN NN IN DT NN,sydney_NN australia_NN announced_VBN plan_NNS acquire_VB longrange_NN cruise_NN missile_NNS give_VB defence_NN force_NN 39most_CD lethal_JJ capacity_NN 39_CD air_NN combat_NN region_NN
World,"Playwright Created a Psychiatrist by Plagiarizing One, Accusers Say","A criminal psychiatrist and a writer for The New Yorker have accused playwright Bryony Lavery of plagiarizing their work in her play ""Frozen.""",criminal psychiatrist writer new yorker accused playwright bryony lavery plagiarizing work play frozen,DT JJ NN CC DT NN IN DT JJ NN VBP VBN NN NN NN IN VBG PRP$ NN IN PRP$ NN NN,criminal_JJ psychiatrist_NN writer_NN new_JJ yorker_NN accused_VBN playwright_NN bryony_NN lavery_NN plagiarizing_VBG work_NN play_NN frozen_NN
World,Israel Kills 3 Palestinians in Big Gaza Incursion (Reuters),"Reuters - Israeli forces killed three\Palestinians, including two teenagers, on Wednesday after\storming into the northern Gaza Strip for the third time in as\many months to quell Palestinian rocket fire into Israel.",reuters israeli force killed threepalestinians including two teenager wednesday afterstorming northern gaza strip third time asmany month quell palestinian rocket fire israel,NNS JJ NNS VBN NNS VBG CD NNS IN JJ VBG IN DT JJ NN NN IN DT JJ NN IN JJ NNS TO VB JJ NN NN IN NN,reuters_NNS israeli_JJ force_NNS killed_VBN threepalestinians_NNS including_VBG two_CD teenager_NNS wednesday_JJ afterstorming_VBG northern_JJ gaza_NN strip_NN third_JJ time_NN asmany_JJ month_NNS quell_VB palestinian_JJ rocket_NN fire_NN israel_NN
World,WTO Rules Against EU Protection of Goods (AP),"AP - The United States and Australia prevailed in an interim ruling by the World Trade Organization in a dispute over protection given by the European Union to its regional goods such as Champagne wine and Feta cheese, trade officials said Thursday.",ap united state australia prevailed interim ruling world trade organization dispute protection given european union regional good champagne wine feta cheese trade official said thursday,IN DT JJ NNS CC NNS VBN IN DT JJ NN IN DT NN NN NN IN DT NN IN NN VBN IN DT JJ NN TO PRP$ JJ NNS JJ IN NN NN CC NN JJ NN NNS VBD JJ,ap_IN united_JJ state_NNS australia_NNS prevailed_VBN interim_JJ ruling_NN world_NN trade_NN organization_NN dispute_NN protection_NN given_VBN european_JJ union_NN regional_JJ good_NNS champagne_NN wine_NN feta_NN cheese_JJ trade_NN official_NNS said_VBD thursday_JJ
World,Israeli Strike in Gaza Kills at Least 14 Palestinians,"Israeli attack helicopters, warplanes and tanks hit a training camp in Gaza, used by the Islamic militant group Hamas. Palestinian sources say 14 militants were killed and another 30 people injured.",israeli attack helicopter warplane tank hit training camp gaza used islamic militant group hamas palestinian source say 14 militant killed another 30 people injured,JJ NN NNS NNS CC NNS VBD DT NN NN IN NN VBN IN DT JJ NN NN VBD JJ NNS VBP CD NNS VBD VBN CC DT CD NNS JJ,israeli_JJ attack_NN helicopter_NNS warplane_NNS tank_NNS hit_VBD training_NN camp_NN gaza_NN used_VBN islamic_JJ militant_NN group_NN hamas_VBD palestinian_JJ source_NNS say_VBP 14_CD militant_NNS killed_VBN another_DT 30_CD people_NNS injured_JJ
World,Yushchenko Was Poisoned by Dioxin - Doctors," VIENNA (Reuters) - The man who hopes to become Ukraine's  next president was the victim of poisoning by dioxin -- a toxic  chemical that can easily be administered in soup containing  cream, Austrian doctors said on Saturday.",vienna reuters man hope become ukraine next president victim poisoning dioxin toxic chemical easily administered soup containing cream austrian doctor said saturday,NN VBZ DT NN WP VBZ TO VB JJ JJ NN VBD DT NN IN NN IN NN DT JJ NN WDT MD RB VB VBN IN NN VBG NN JJ NNS VBD IN NN,vienna_NN reuters_VBZ man_NN hope_VBZ become_VB ukraine_JJ next_JJ president_NN victim_NN poisoning_NN dioxin_NN toxic_JJ chemical_NN easily_RB administered_VBN soup_NN containing_VBG cream_NN austrian_JJ doctor_NNS said_VBD saturday_NN
World,Prosecutor Blasts GOP for Shielding DeLay (AP),AP - A Texas prosecutor who is leading an investigation into possible illegal campaign spending lashed out at congressional Republicans on Tuesday for changing their rules in order to protect House Majority Leader Tom DeLay.,ap texas prosecutor leading investigation possible illegal campaign spending lashed congressional republican tuesday changing rule order protect house majority leader tom delay,VB DT JJ NN WP VBZ VBG DT NN IN JJ JJ NN NN VBD RP IN JJ NNS IN NN IN VBG PRP$ NNS IN NN TO VB NN NN NN NN NN,ap_VB texas_JJ prosecutor_NN leading_VBG investigation_NN possible_JJ illegal_JJ campaign_NN spending_NN lashed_VBD congressional_JJ republican_NNS tuesday_NN changing_VBG rule_NNS order_NN protect_VB house_NN majority_NN leader_NN tom_NN delay_NN
World,Yawer demands help from UN for elections,"BAGHDAD -- Interim President Ghazi al-Yawer demanded more help from the United Nations ahead of the country's Jan. 30 elections, saying yesterday that poor security was no excuse for the world body to stay away.",baghdad interim president ghazi alyawer demanded help united nation ahead country jan 30 election saying yesterday poor security excuse world body stay away,NN JJ NN NN NN VBD JJR NN IN DT JJ NNS RB IN DT NN NN CD NNS VBG NN IN JJ NN VBD DT NN IN DT NN NN TO VB RB,baghdad_NN interim_JJ president_NN ghazi_NN alyawer_NN demanded_VBD help_NN united_JJ nation_NNS ahead_RB country_NN jan_NN 30_CD election_NNS saying_VBG yesterday_NN poor_JJ security_NN excuse_NN world_NN body_NN stay_VB away_RB
World,UN AIDS envoy urges Blair to make G8 do more for Africa (AFP),AFP - The United Nations envoy on AIDS urged Prime Minister Tony Blair to persuade the world's richest countries to provide more funds to step up treatment of the disease in Africa.,afp united nation envoy aid urged prime minister tony blair persuade world richest country provide fund step treatment disease africa,IN DT JJ NNS VBP IN NNS VBD JJ NN NN NN TO VB DT NNS VBP NNS TO VB JJR NNS TO VB RP NN IN DT NN IN NN,afp_IN united_JJ nation_NNS envoy_VBP aid_NNS urged_VBD prime_JJ minister_NN tony_NN blair_NN persuade_VB world_NNS richest_VBP country_NNS provide_VB fund_NNS step_VB treatment_NN disease_NN africa_NN
World,Car-bomb attacks in Baghdad kill 17,BAGHDAD - Two suicide car-bombings killed at least 17 people in Baghdad yesterday as US Defence Secretary Donald Rumsfeld began an unannounced visit to Iraq.,baghdad two suicide carbombings killed least 17 people baghdad yesterday u defence secretary donald rumsfeld began unannounced visit iraq,NN CD JJ NNS VBN IN JJS CD NNS IN NN NN IN PRP VBP NN NNS VBD VBD DT JJ NN TO VB,baghdad_NN two_CD suicide_JJ carbombings_NNS killed_VBN least_JJS 17_CD people_NNS baghdad_NN yesterday_NN u_PRP defence_VBP secretary_NN donald_NNS rumsfeld_VBD began_VBD unannounced_JJ visit_NN iraq_VB
World,Retrial of Cleric Begins in Indonesia," JAKARTA, Indonesia, Oct. 28 -- The Indonesian government on Thursday opened the retrial of a cleric charged with leading an al Qaeda-linked group and inciting its members to carry out terrorist attacks against U.S. interests.",jakarta indonesia oct 28 indonesian government thursday opened retrial cleric charged leading al qaedalinked group inciting member carry terrorist attack u interest,NN NN VBZ CD DT JJ NN IN NN VBD DT NN IN DT JJ VBN IN VBG DT NN VBD NN CC VBG PRP$ NNS TO VB RP JJ NNS IN PRP NNS,jakarta_NN indonesia_NN oct_VBZ 28_CD indonesian_JJ government_NN thursday_NN opened_VBD retrial_NN cleric_JJ charged_VBN leading_VBG al_NN qaedalinked_VBD group_NN inciting_VBG member_NNS carry_VB terrorist_JJ attack_NNS u_PRP interest_NNS
World,PITCAIRN: SIX GUILTY OF SEX CRIMES,Six men on the Pacific island of Pitcairn have been found guilty of subjecting women to rape and indecent assaults over a 40-year period.,six men pacific island pitcairn found guilty subjecting woman rape indecent assault 40year period,CD NNS IN DT JJ NN IN NNS VBP VBN VBN JJ IN VBG NNS TO VB CC JJ NNS IN DT JJ NN,six_CD men_NNS pacific_JJ island_NN pitcairn_NNS found_VBN guilty_JJ subjecting_VBG woman_NNS rape_VB indecent_JJ assault_NNS 40year_JJ period_NN
World,Japan Eases Arms Export Ban for New Missile Shield (Reuters),"Reuters - Japan eased a blanket ban on arms exports\on Friday to open the way for joint production of a new missile\shield with the United States, but said it would still refrain\from most other weapons exports.",reuters japan eased blanket ban arm exportson friday open way joint production new missileshield united state said would still refrainfrom weapon export,NNS VBP VBD DT NN NN IN NNS JJ NN TO VB DT NN IN JJ NN IN DT JJ NN IN DT JJ NNS CC VBD PRP MD RB VB JJS JJ NNS NNS,reuters_NNS japan_VBP eased_VBD blanket_NN ban_NN arm_NNS exportson_JJ friday_NN open_VB way_NN joint_JJ production_NN new_JJ missileshield_NN united_JJ state_NNS said_VBD would_MD still_RB refrainfrom_VB weapon_NNS export_NNS
World,Taj night visits approved,"LUCKNOW: India #39;s top court has opened the country #39;s most famous monument, the Taj Mahal, to night viewing, allowing visitors to gaze at the dazzling marble monument by moonlight for the first time in two decades.",lucknow india 39s top court opened country 39s famous monument taj mahal night viewing allowing visitor gaze dazzling marble monument moonlight first time two decade,JJ VBZ CD JJ NN VBZ VBN DT NN CD RBS JJ NN DT NN NN TO NN VBG VBG NNS TO VB IN DT VBG JJ NN IN NN IN DT JJ NN IN CD NNS,lucknow_JJ india_VBZ 39s_CD top_JJ court_NN opened_VBN country_NN 39s_CD famous_JJ monument_NN taj_NN mahal_NN night_NN viewing_VBG allowing_VBG visitor_NNS gaze_VB dazzling_VBG marble_JJ monument_NN moonlight_NN first_JJ time_NN two_CD decade_NNS
World,Explosion rips Israeli base at Gaza-Egypt crossing; 4 Israeli &lt;b&gt;...&lt;/b&gt;,"Palestinian guerrillas blew up an Israeli army base at the Gaza-Egypt crossing Sunday by sneaking more than a tonne of explosives through a tunnel, killing four Israeli soldiers and wounding at least 10.",palestinian guerrilla blew israeli army base gazaegypt crossing sunday sneaking tonne explosive tunnel killing four israeli soldier wounding least 10,JJ NNS VBD RP DT JJ NN NN IN DT NN VBG NN IN VBG JJR IN DT NN IN NNS IN DT NN VBG CD JJ NNS CC VBG IN JJS CD,palestinian_JJ guerrilla_NNS blew_VBD israeli_JJ army_NN base_NN gazaegypt_NN crossing_VBG sunday_NN sneaking_VBG tonne_NN explosive_NNS tunnel_NN killing_VBG four_CD israeli_JJ soldier_NNS wounding_VBG least_JJS 10_CD
World,Newsview: Shifts in Belfast remarkable,"Belfast used to be a place where you dreaded walking past an abandoned car on a lonely street for fear it might blow up. These days, Belfast is a bustling city ",belfast used place dreaded walking past abandoned car lonely street fear might blow day belfast bustling city,NN VBN TO VB DT NN WRB PRP VBD VBG IN DT JJ NN IN DT JJ NN IN NN PRP MD VB RP DT NNS NN VBZ DT JJ NN,belfast_NN used_VBN place_NN dreaded_VBD walking_VBG past_IN abandoned_JJ car_NN lonely_JJ street_NN fear_NN might_MD blow_VB day_NNS belfast_NN bustling_JJ city_NN
